"","Drug","log2MIC","Gene","log2FC"
"6842","KasA",-1,"gene123",-0.458926703
"6843","KasA",0,"gene123",-0.943354319
"6844","KasA",1,"gene123",-0.528171159
"6845","KasA",2,"gene123",-0.990670824
"6846","KasA",3,"gene123",-2.47082222
"6847","Etha",-3,"gene123",0.592452714
"6848","Etha",-2,"gene123",1.045986205
"6849","Etha",-1,"gene123",2.458141499
"6850","Etha",0,"gene123",2.881355504
"6851","Etha",1,"gene123",0.956374897
"6852","Etha",2,"gene123",-0.008871971
"6853","Etha",3,"gene123",0.002084519
"6854","Cipro",-3,"gene123",0.227987459
"6855","Cipro",-2,"gene123",0.680378372
"6856","Cipro",-1,"gene123",0.776019741
"6857","Cipro",0,"gene123",1.283566239
"6858","Cipro",1,"gene123",1.553196645
"6859","Cipro",2,"gene123",2.652845929
"6860","Cipro",3,"gene123",-0.761800119
"6861","Levo",-3,"gene123",-0.154221857
"6862","Levo",-2,"gene123",0.937715722
"6863","Levo",-1,"gene123",0.974327606
"6864","Levo",0,"gene123",0.711703105
"6865","Levo",1,"gene123",-1.239740551
"6866","Levo",2,"gene123",-1.564784619
"6867","Levo",3,"gene123",-3.81076386
"6868","PAS",-3,"gene123",0.519727873
"6869","PAS",-2,"gene123",1.039679823
"6870","PAS",-1,"gene123",0.683715145
"6871","PAS",0,"gene123",0.834770918
"6872","PAS",1,"gene123",1.434618972
"6873","PAS",2,"gene123",1.981264746
"6874","PAS",3,"gene123",1.045897508
"6875","Line",-3,"gene123",-0.94638046
"6876","Line",-2,"gene123",-2.048027062
"6877","Line",-1,"gene123",-1.592735953
"6878","Line",0,"gene123",-0.686026635
"6879","Line",1,"gene123",-1.401995423
"6880","Line",2,"gene123",-1.550139133
"6881","Line",3,"gene123",-1.735073771
"6882","Rif",-3,"gene123",0.226830408
"6883","Rif",-2,"gene123",0.604301139
"6884","Rif",-1,"gene123",0.059701329
"6885","Rif",0,"gene123",-0.313763415
"6886","Rif",1,"gene123",-0.838139763
"6887","Rif",2,"gene123",-0.979225844
"6888","Rif",3,"gene123",-2.08718994
"6889","Ethi",-3,"gene124",-0.285422759
"6890","Ethi",-2,"gene124",-0.406866786
"6891","Ethi",-1,"gene124",0.381457875
"6892","Ethi",0,"gene124",0.146933261
"6893","Ethi",1,"gene124",-0.004608202
"6894","Ethi",2,"gene124",-0.690190029
"6895","Ethi",3,"gene124",-0.975237689
"6896","KasA",-3,"gene124",-0.330399048
"6897","KasA",-2,"gene124",0.019705255
"6898","KasA",-1,"gene124",-0.552190471
"6899","KasA",0,"gene124",-1.0435179
"6900","KasA",1,"gene124",-0.991340864
"6901","KasA",2,"gene124",-1.401239288
"6902","KasA",3,"gene124",-2.937572828
"6903","Etha",-3,"gene124",0.466876431
"6904","Etha",-2,"gene124",0.663615563
"6905","Etha",-1,"gene124",1.906784923
"6906","Etha",0,"gene124",1.843357643
"6907","Etha",1,"gene124",-0.088909907
"6908","Etha",2,"gene124",-0.749382113
"6909","Etha",3,"gene124",-0.626447062
"6910","Cipro",-3,"gene124",0.212748596
"6911","Cipro",-2,"gene124",0.588634417
"6912","Cipro",-1,"gene124",0.967136637
"6913","Cipro",0,"gene124",1.397722963
"6914","Cipro",1,"gene124",1.681881336
"6915","Cipro",2,"gene124",3.22953749
"6916","Cipro",3,"gene124",-1.056230619
"6917","Levo",-3,"gene124",-0.186413124
"6918","Levo",-2,"gene124",0.883967057
"6919","Levo",-1,"gene124",1.042249335
"6920","Levo",0,"gene124",0.903589684
"6921","Levo",1,"gene124",-1.702111762
"6922","Levo",2,"gene124",-1.527872675
"6923","Levo",3,"gene124",-3.554994018
"6924","PAS",-3,"gene124",0.495843765
"6925","PAS",-2,"gene124",0.775782075
"6926","PAS",-1,"gene124",0.463094616
"6927","PAS",0,"gene124",0.701569971
"6928","PAS",1,"gene124",1.266912446
"6929","PAS",2,"gene124",1.916884606
"6930","PAS",3,"gene124",0.804537463
"6931","Line",-3,"gene124",-0.927047399
"6932","Line",-2,"gene124",-2.066934724
"6933","Line",-1,"gene124",-1.679376175
"6934","Line",0,"gene124",-1.031945374
"6935","Line",1,"gene124",-1.783606319
"6936","Line",2,"gene124",-2.041155186
"6937","Line",3,"gene124",-1.675546573
"6938","Rif",-3,"gene124",0.083523356
"6939","Rif",-2,"gene124",0.297316809
"6940","Rif",-1,"gene124",-0.220409837
"6941","Rif",0,"gene124",-0.869247224
"6942","Rif",1,"gene124",-1.245666021
"6943","Rif",2,"gene124",-1.973769869
"6944","Rif",3,"gene124",-2.712787662
"6945","Ethi",-3,"gene125",-0.152838039
"6946","Ethi",-2,"gene125",-0.593151279
"6947","Ethi",-1,"gene125",0.427396099
"6948","Ethi",0,"gene125",0.055112974
"6949","Ethi",1,"gene125",-0.056962461
"6950","Ethi",2,"gene125",-0.93742409
"6951","Ethi",3,"gene125",-1.419289863
